Inspection ID,License #,DBA Name,Facility Type,Risk,City,State,Results
1975973,2418091,phos thai,restaurant,risk 1 (high),chicago,il,fail
1978988,2232454,"los arcos authentic mexican food, inc.",restaurant,risk 1 (high),chicago,il,fail
1496889,1619627,angie's,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1512658,34128,famosa bakery,bakery,risk 2 (medium),chicago,il,pass
1512757,2203567,blessed homeland supermarket,grocery store,risk 3 (low),chicago,il,fail
1496950,1403943,blue bird bowl,restaurant,risk 2 (medium),chicago,il,pass
2607836,2988483,puttery,restaurant,risk 1 (high),chicago,il,pass
2049541,1197794,milk & honey cafe,restaurant,risk 1 (high),chicago,il,fail
1513060,1302325,"john's gar hot dogs, inc.",restaurant,risk 2 (medium),chicago,il,pass
2081454,2398073,opart thai,restaurant,risk 1 (high),chicago,il,pass
1501453,2363299,big 4's chop suey,restaurant,risk 1 (high),chicago,il,pass
1522243,22003,pizza capri,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1501985,1092597,the submarine pier inc.,restaurant,risk 1 (high),chicago,il,pass
1501799,2069923,big bricks,restaurant,risk 1 (high),chicago,il,pass
1522486,25021,prescott elementary,school,risk 1 (high),chicago,il,pass
2607810,3001914,mintza,restaurant,risk 1 (high),chicago,il,not ready
2116972,2134168,guerrero's tacos and pizza,restaurant,risk 1 (high),chicago,il,pass
2607800,3532,wolfy's,restaurant,risk 1 (high),chicago,il,pass
2607794,2423474,pub 97,restaurant,risk 1 (high),chicago,il,no entry
1532824,2220524,"roosevelt food market, inc.",grocery store,risk 2 (medium),chicago,il,pass
1559297,1476419,divine food market,grocery store,risk 2 (medium),chicago,il,pass
1513105,2298672,pinstripes,restaurant,risk 1 (high),chicago,il,fail
1559610,1197450,panera bread,restaurant,risk 1 (high),chicago,il,pass
1559691,31916,bacino's of lincoln park ltd,restaurant,risk 1 (high),chicago,il,pass
1515869,2246717,montgomery club,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1516048,63983,chicago bagel authority,restaurant,risk 1 (high),chicago,il,pass
